['RA Austin', '', 2, 22, '', 2, 6, 5, 0, 1978, 1978, 38, 2097, 33.82, 73, 31.21, 1954, 0, 0, 0]
['DL Haynes', '', 116, 7487, '', 177, 18, 8, 1, 1978, 1994, 376, 26030, 45.9, 8, 34.87, 1956, 4, 0, 201]
['DR Parry', 'Right arm offbreak', 12, 381, '', 17, 1909, 936, 23, 1978, 1980, 77, 2552, 26.86, 251, 28.95, 1954, 0, 0, 0]
['ST Clarke', 'Right arm fast', 11, 172, '', 11, 2477, 1170, 42, 1978, 1982, 238, 3269, 14.79, 942, 19.52, 1954, 0, 0, 0]
['AE Greenidge', 'Right arm medium', 6, 222, '', 10, '-', '-', '-', 1978, 1979, 48, 2319, 30.51, 5, 29.4, 1956, 0, 0, 10]
['DA Murray', '', 19, 601, '', 28, '-', '-', '-', 1978, 1982, 114, 4503, 30.84, 0, '-', 1950, 0, 19, 1]
['N Phillip', 'Right arm fast medium', 9, 297, '', 10, 1820, 1041, 28, 1978, 1979, 230, 7013, 23.61, 688, 24.75, 1948, 0, 0, 0]
['S Shivnarine', 'Slow left arm orthodox', 8, 379, '', 13, 336, 167, 1, 1978, 1979, 49, 2182, 32.56, 67, 36.55, 1952, 0, 0, 0]
['AB Williams', '', 7, 469, '', 12, '-', '-', '-', 1978, 1979, 46, 2702, 36.02, 0, '-', 1949, 0, 0, 11]
['SFAF Bacchus', 'Right arm medium', 19, 782, '', 30, 6, 3, 0, 1978, 1982, 111, 5944, 35.17, 8, 24.62, 1954, 0, 0, 18]
['MD Marshall', 'Right arm fast', 81, 1810, '', 96, 17584, 7876, 376, 1978, 1991, 408, 11004, 24.83, 1651, 19.1, 1958, 0, 0, 0]
['HS Chang', 'Right arm medium', 1, 8, '', 2, '-', '-', '-', 1979, 1979, 58, 3273, 35.19, 0, '-', 1952, 0, 0, 0]
['R Nanan', 'Right arm offbreak', 1, 16, 66, 2, 216, 91, 4, 1980, 1980, 94, 2607, 20.85, 366, 23.1, 1953, 0, 0, 0]
['EH Mattis', 'Right arm offbreak', 4, 145, 401, 5, 36, 14, 0, 1981, 1981, 38, 2064, 33.29, 9, 9.88, 1957, 0, 0, 0]
['PJL Dujon', 'Right arm medium', 81, 3322, '', 104, '-', '-', '-', 1981, 1991, 200, 9763, 39.05, 1, 45.0, 1956, 0, 79, 2]
