['HJH Marshall', 30.55, 141.33, 'Bat', 2000, 2006, 0.4731494920174166, 1.3289036544850499, 0]
['JEC Franklin', 19.05, 36.05, 'Med', 2001, 2013, 0.37355524734165513, 1.1132088665128312, 0]
['CJ Drum', 5.37, 30.24, 'Fast', 2001, 2002, 0.10989010989010989, 1.2000298762624795, 0]
['SE Bond', 10.15, 32.28, 'Fast', 2001, 2009, 0.3888888888888889, 1.1032028469750887, 0]
['L Vincent', 32.24, 142.74, 'OpenBat', 2001, 2007, 0.4711708524938097, 0.65359477124183, 0]
['IG Butler', 10.35, 48.56, 'Fast', 2002, 2004, 0.4662576687116564, 1.2881039808824388, 0]
['AR Adams', 12.97, 33.39, 'Fast', 2002, 2002, 0.9, 1.1089596901953882, 0]
['RG Hart', 14.2, 387.22, 'WK', 2002, 2003, 0.25691699604743085, 1.4, 0]
['SB Styris', 34.03, 50.1, 'PartMed', 2002, 2007, 0.513434768533506, 1.0154061624649862, 0]
['JDP Oram', 33.5, 36.59, 'Fast', 2002, 2009, 0.5038211151995471, 0.7633303735943379, 0]
['RA Jones', 20.61, 385.36, 'Bat', 2003, 2003, 0.25274725274725274, 1.4, 0]
['BB McCullum', 35.66, 184.56, 'WK', 2004, 2016, 0.6460106116728401, 0.9547920433996383, 31]
['MHW Papps', 19.66, 368.89, 'OpenBat', 2004, 2007, 0.35344827586206895, 1.4, 0]
['MJ Mason', 8.7, 42.53, 'PartFast', 2004, 2004, 0.09090909090909091, 1.5597147950089125, 0]
['KD Mills', 11.69, 41.97, 'Fast', 2004, 2009, 0.38584779706275035, 0.9567309169604096, 0]
['CD Cumming', 23.0, 368.89, 'OpenBat', 2005, 2008, 0.3486166007905138, 1.4, 0]
["IE O'Brien", 6.57, 35.46, 'Fast', 2005, 2009, 0.38488576449912126, 1.0529509937793962, 0]
['JAH Marshall', 18.39, 368.89, 'OpenBat', 2005, 2008, 0.3906810035842294, 1.4, 0]
['PG Fulton', 23.48, 369.12, 'OpenBat', 2006, 2014, 0.39277010560519904, 1.4, 0]
['JM How', 20.84, 137.94, 'OpenBat', 2006, 2009, 0.5045751633986928, 0.6349206349206349, 0]
['JS Patel', 12.11, 42.61, 'Spin', 2006, 2017, 0.516260162601626, 1.0083196746820473, 0]
['LRPL Taylor', 44.46, 185.07, 'Bat', 2007, 2017, 0.5942346113595282, 0.9554140127388535, 14]
['MR Gillespie', 9.56, 40.19, 'Fast', 2007, 2012, 0.5671641791044776, 1.3803009974916873, 0]
['GD Elliott', 15.15, 48.73, 'PartMed', 2008, 2009, 0.2670807453416149, 0.9456264775413711, 0]
['TG Southee', 15.81, 29.11, 'Fast', 2008, 2017, 0.8832163369495852, 0.9731123731865378, 0]
['DR Flynn', 23.95, 184.56, 'Bat', 2008, 2013, 0.40232558139534885, 0.0, 0]
['AJ Redmond', 19.71, 68.45, 'OpenBat', 2008, 2013, 0.39015606242497, 1.446654611211573, 0]
['GJ Hopkins', 19.5, 366.97, 'WK', 2008, 2010, 0.2563176895306859, 1.4, 0]
['JD Ryder', 36.41, 47.91, 'PartMed', 2008, 2011, 0.5519791213571118, 1.080580426057425, 0]
['TG McIntosh', 24.74, 369.12, 'OpenBat', 2008, 2011, 0.3620178041543027, 1.4, 0]
['MJ Guptill', 27.19, 73.77, 'OpenBat', 2009, 2016, 0.46611391492429705, 1.3304363354961606, 0]
['BJ Watling', 35.31, 371.17, 'WK', 2009, 2017, 0.4395640149666504, 1.4, 0]
['PJ Ingram', 21.0, 369.12, 'Bat', 2010, 2010, 0.40397350993377484, 1.4, 0]
['BJ Arnel', 4.93, 42.07, 'Fast', 2010, 2012, 0.30405405405405406, 1.0695389266817839, 0]
['HK Bennett', 4.94, 48.22, 'PartFast', 2010, 2010, 0.13333333333333333, 0.9915611814345991, 0]
['KS Williamson', 46.92, 46.79, 'PartSpin', 2010, 2017, 0.5051836062397055, 1.0655919509582306, 15]
['AJ McKay', 8.13, 51.34, 'PartFast', 2010, 2010, 0.45454545454545453, 1.2249897917517352, 0]
['RA Young', 18.19, 368.21, 'WK', 2011, 2011, 0.4033412887828162, 1.4, 0]
['DAJ Bracewell', 12.84, 38.22, 'Fast', 2011, 2016, 0.4636734693877551, 1.075390130205796, 0]
['DG Brownlie', 25.89, 185.07, 'Bat', 2011, 2013, 0.44801512287334594, 1.5055008685581934, 0]
['TA Boult', 14.45, 26.47, 'Fast', 2011, 2017, 0.5216962524654832, 0.9524635322523629, 0]
['RJ Nicol', 17.41, 142.66, 'OpenBat', 2012, 2012, 0.26666666666666666, 1.4612214312476584, 0]
['CFK van Wyk', 21.41, 370.14, 'WK', 2012, 2012, 0.49135446685878964, 1.4, 0]
['N Wagner', 11.2, 27.96, 'Fast', 2012, 2017, 0.42720510095642933, 1.0335216507852045, 0]
['TD Astle', 14.52, 39.88, 'PartSpin', 2012, 2016, 0.2695035460992908, 0.9949794614331358, 0]
['C Munro', 26.54, 39.64, 'Fast', 2013, 2013, 0.5769230769230769, 0.7099751508697196, 0]
['BP Martin', 11.4, 55.56, 'Spin', 2013, 2013, 0.524822695035461, 0.8157698670269862, 0]
['HD Rutherford', 23.95, 185.36, 'OpenBat', 2013, 2015, 0.5642750373692078, 0.6389776357827477, 0]
['CJ Anderson', 25.91, 46.86, 'PartFast', 2013, 2016, 0.5686927560366362, 0.9702448432738036, 0]
['IS Sodhi', 15.51, 43.91, 'Spin', 2013, 2016, 0.5887096774193549, 1.2033400487033912, 0]
['TWM Latham', 36.24, 379.03, 'OpenBat', 2014, 2017, 0.4648572007291878, 1.4, 0]
['JDS Neesham', 26.18, 41.38, 'PartMed', 2014, 2017, 0.6632366697848456, 1.2141743614342246, 0]
