['PT Collins', 5.69, 35.19, 'Fast', 1999, 2006, 0.67, 1.06, 0]
['DRE Joseph', 17.91, 100, 'Bat', 1999, 1999, 0.88, 1.2, 0]
['S Ragoonath', 15.86, 100, 'OpenBat', 1999, 1999, 1, 1.2, 0]
['NO Perry', 12.04, 41.21, 'Spin', 1999, 1999, 0.82, 1.16, 0]
['LA Roberts', 15.16, 100, 'Bat', 1999, 1999, 1, 1.2, 0]
['CD Collymore', 6.76, 34.44, 'Fast', 1999, 2007, 0.61, 0.94, 0]
['RL Powell', 15.35, 64.36, 'PartSpin', 1999, 2004, 1.39, 1.2, 0]
['CH Gayle', 38.79, 46.07, 'OpenPartSpin', 2000, 2014, 1.21, 0.84, 20]
['WW Hinds', 31.96, 52.4, 'OpenPartMed', 2000, 2005, 0.96, 1.05, 0]
['RR Sarwan', 36.9, 56.57, 'Bat', 2000, 2011, 0.94, 1.1, 4]
['MV Nagamootoo', 14.14, 46.91, 'Spin', 2000, 2002, 1.05, 0.86, 0]
['MI Black', 3.51, 49.29, 'Fast', 2000, 2002, 0.5, 1.2, 0]
['MN Samuels', 29.96, 59.47, 'PartSpin', 2000, 2016, 0.95, 1.06, 0]
['CEL Stuart', 4.11, 49.09, 'Fast', 2000, 2001, 0.5, 1.16, 0]
['NC McGarrell', 12.77, 40.6, 'Spin', 2001, 2001, 0.57, 0.8, 0]
['LV Garrick', 18.02, 100, 'OpenBat', 2001, 2001, 0.71, 1.2, 0]
['RO Hinds', 20.09, 45.29, 'PartSpin', 2002, 2009, 0.81, 0.95, 0]
['A Sanford', 4.37, 48.81, 'Fast', 2002, 2004, 0.5, 1.18, 0]
['DBL Powell', 7.22, 46.36, 'Fast', 2002, 2009, 0.71, 1.1, 0]
['GR Breese', 14.96, 48.84, 'Spin', 2002, 2002, 1, 1.2, 0]
['JJC Lawson', 3.97, 42.81, 'Fast', 2002, 2005, 0.59, 1.2, 0]
['VC Drakes', 16.91, 38.19, 'Fast', 2002, 2004, 0.94, 1.04, 0]
['DS Smith', 21.95, 100, 'OpenBat', 2003, 2018, 0.92, 0.95, 0]
['CS Baugh', 16.51, 100, 'WK', 2003, 2012, 1.0, 1.2, 0]
['DE Bernard', 17.88, 43.27, 'PartFast', 2003, 2009, 1.06, 1.2, 0]
['OAC Banks', 17.98, 56.21, 'Spin', 2003, 2005, 0.78, 1.12, 0]
['TL Best', 11.1, 41.41, 'Fast', 2003, 2013, 1.14, 1.17, 0]
['JE Taylor', 11.97, 32.07, 'Fast', 2003, 2016, 1.25, 1.1, 0]
['FH Edwards', 6.03, 35.12, 'Fast', 2003, 2012, 0.56, 1.2, 0]
['D Mohammed', 13.34, 43.06, 'Spin', 2004, 2006, 1.43, 1.2, 0]
['DR Smith', 18.57, 49.61, 'PartMed', 2004, 2006, 1.4, 1.02, 0]
['DJ Bravo', 28.9, 42.27, 'Med', 2004, 2010, 0.97, 1.01, 1]
['SC Joseph', 15.98, 100, 'OpenBat', 2004, 2007, 0.76, 1.2, 0]
['N Deonarine', 23.04, 46.26, 'PartSpin', 2005, 2013, 0.84, 0.9, 0]
['DJ Pagon', 15.98, 100, 'Bat', 2005, 2005, 0.76, 1.2, 0]
['DM Washington', 10.18, 60.81, 'Fast', 2004, 2005, 1, 1.05, 0]
['XM Marshall', 14.58, 100, 'OpenBat', 2005, 2009, 1.0, 1.2, 0]
['RS Morton', 20.74, 100, 'Bat', 2005, 2008, 0.96, 1.2, 0]
['D Ramdin', 23.88, 100, 'WK', 2005, 2016, 0.97, 1.2, 13]
['RR Ramdass', 15.26, 100, 'OpenBat', 2004, 2005, 1, 1.2, 0]
['IDR Bradshaw', 11.77, 42.09, 'Fast', 2006, 2006, 0.54, 1.01, 0]
['DJG Sammy', 20.01, 37.71, 'Med', 2007, 2013, 1.36, 0.92, 30]
['BA Parchment', 14.15, 100, 'OpenBat', 2008, 2008, 0.67, 1.2, 0]
['SJ Benn', 13.12, 37.16, 'Spin', 2008, 2015, 1.21, 0.89, 0]
['S Chattergoon', 16.26, 100, 'OpenBat', 2008, 2008, 0.88, 1.2, 0]
['AS Jaggernauth', 6.02, 38.28, 'Spin', 2008, 2008, 1, 1.2, 0]
['LS Baker', 5.72, 58.97, 'Fast', 2008, 2009, 1, 1.14, 0]
['BP Nash', 30.36, 75.19, 'Bat', 2008, 2011, 0.87, 0.95, 0]
['LMP Simmons', 17.39, 82.2, 'OpenPartFast', 2009, 2011, 0.94, 1.2, 0]
