['KTGD Prasad', 'Right arm fast medium', 25, 476, 888, 37, 4327, 2698, 75, 2008, 2015, 130, 2485, 17.25, 351, 29.1, 1983, 0, 0, 1]
['NT Paranavitana', 'Right arm offbreak', 32, 1792, 4274, 55, 102, 86, 1, 2009, 2012, 222, 14940, 45.82, 37, 40.7, 1982, 0, 0, 59]
['AD Mathews', 'Right arm medium', 90, 6236, 12903, 139, 3930, 1766, 33, 2009, 2021, 132, 9318, 48.03, 63, 46.79, 1987, 34, 0, 0]
['S Randiv', 'Right arm offbreak', 12, 147, 480, 16, 3146, 1613, 43, 2010, 2012, 149, 3838, 21.68, 681, 25.52, 1985, 0, 0, 0]
['RAS Lakmal', 'Right arm fast medium', 66, 898, 1843, 77, 12095, 6064, 167, 2010, 2021, 126, 1480, 11.65, 343, 31.85, 1987, 5, 0, 0]
['NLTC Perera', 'Right arm medium fast', 6, 203, 278, 10, 954, 653, 11, 2011, 2012, 33, 1409, 30.63, 56, 41.05, 1989, 0, 0, 0]
['HDRL Thirimanne', 'Right arm medium fast', 42, 2063, 5216, 75, 84, 51, 0, 2011, 2021, 134, 8522, 41.36, 1, 166.0, 1989, 0, 0, 37]
['S Prasanna', 'Legbreak', 1, 5, 12, 1, 138, 80, 0, 2011, 2019, 113, 3769, 21.91, 542, 22.67, 1985, 0, 0, 0]
['RMS Eranga', 'Right arm fast medium', 19, 193, 469, 15, 3891, 2138, 57, 2011, 2016, 76, 1314, 19.9, 186, 32.4, 1986, 0, 0, 0]
['N Pradeep', 'Right arm fast medium', 28, 132, 361, 33, 5077, 3003, 70, 2011, 2017, 90, 352, 4.82, 209, 34.21, 1986, 0, 0, 0]
['JK Silva', '', 39, 2099, 5212, 74, '-', '-', '-', 2011, 2018, 209, 13932, 46.44, 2, 20.5, 1986, 0, 3, 67]
['CKB Kulasekara', 'Right arm fast medium', 1, 22, 50, 2, 168, 80, 1, 2011, 2012, 122, 4478, 26.34, 207, 29.85, 1985, 0, 0, 0]
['LD Chandimal', 'Right arm offbreak', 62, 4158, 8595, 104, '-', '-', '-', 2011, 2021, 126, 9158, 47.2, 1, 18.0, 1989, 19, 24, 2]
