['AM Rahane', 38.96, 100, 'Bat', 2013, 2021, 1.0, 1.2, 5]
['Mohammed Shami', 10.49, 27.03, 'Fast', 2013, 2020, 1.53, 1.07, 0]
['RG Sharma', 44.07, 58.59, 'Bat', 2013, 2021, 1.17, 1.13, 0]
['STR Binny', 19.31, 53.02, 'PartMed', 2014, 2015, 1.17, 1.1, 0]
['Pankaj Singh', 6.64, 38.98, 'Fast', 2014, 2014, 1, 1.2, 0]
['KV Sharma', 13.52, 45.29, 'Spin', 2014, 2014, 1, 1.2, 0]
['KL Rahul', 32.77, 100, 'OpenBat', 2014, 2019, 1.13, 1.2, 0]
['NV Ojha', 24.2, 100, 'WK', 2010, 2010, 0.96, 1.2, 0]
['J Yadav', 19.56, 39.91, 'Spin', 2016, 2017, 0.89, 1.13, 0]
['KK Nair', 40.05, 66.47, 'Bat', 2016, 2017, 1.48, 1.2, 0]
['Kuldeep Yadav', 10.38, 36.46, 'Spin', 2017, 2021, 0.58, 1.2, 0]
['HH Pandya', 24.15, 37.91, 'Fast', 2017, 2018, 1.48, 1.2, 0]
['JJ Bumrah', 2.63, 27.56, 'Fast', 2018, 2021, 0.5, 1.01, 0]
['RR Pant', 40.66, 100, 'WK', 2018, 2021, 1.43, 1.2, 0]
['GH Vihari', 34.21, 50.42, 'PartSpin', 2018, 2021, 0.85, 1.17, 0]
['PP Shaw', 38.4, 100, 'OpenBat', 2018, 2020, 1.72, 1.2, 0]
['SN Thakur', 7.75, 35.94, 'Med', 2018, 2021, 1.12, 1.2, 0]
['MA Agarwal', 37.24, 100, 'OpenBat', 2018, 2021, 1.09, 1.2, 0]
['S Nadeem', 3.99, 36.66, 'Spin', 2019, 2021, 1, 1.2, 0]
['Mohammed Siraj', 3.57, 31.6, 'Fast', 2020, 2021, 1, 1.06, 0]
['Shubman Gill', 36.21, 100, 'OpenBat', 2020, 2021, 1.17, 1.2, 0]
['NA Saini', 2.9, 36.95, 'Fast', 2021, 2021, 1, 1.2, 0]
['T Natarajan', 2.84, 35.65, 'Med', 2020, 2021, 1, 1.16, 0]
['Washington Sundar', 30.62, 39.05, 'Spin', 2021, 2021, 1.06, 1.2, 0]
['AR Patel', 21.39, 31.0, 'Spin', 2021, 2021, 0.84, 0.85, 0]
