DT Ring, Doug Ring
RA Saggers, Ron Saggers
J Moroney, Jack Moroney
G Noblet, Geff Noblet
JB Iverson, Jack Iverson
KA Archer, Ken Archer
JW Burke, Jim Burke
GB Hole, Graeme Hole
GRA Langley, Gil Langley
R Benaud, Richie Benaud
CC McDonald, Colin McDonald
GR Thoms, George Thoms
RG Archer, Ron Archer
ID Craig, Ian Craig
AK Davidson, Alan Davidson
JC Hill, Jack Hill
JH de Courcy, Jim de Courcy
LE Favell, Les Favell
LV Maddocks, Len Maddocks
PJP Burge, Peter Burge
WJ Watson, Bill Watson
WPA Crawford, Pat Crawford
KD Mackay, Ken Mackay
JW Rutherford, John Rutherford
JW Wilson, Jack Wilson
ATW Grout, Wally Grout
LF Kline, Lindsay Kline
I Meckiff, Ian Meckiff
RB Simpson, Bob Simpson
RA Gaunt, Ron Gaunt
NCL O'Neill, Norm O'Neill
KN Slater, Keith Slater
GF Rorke, Gordon Rorke
GB Stevens, Gavin Stevens
BN Jarman, Barry Jarman
JW Martin, Johnny Martin
FM Misson, Frank Misson
DE Hoare, Des Hoare
WM Lawry, Bill Lawry
GD McKenzie, Graham McKenzie
BC Booth, Brian Booth
CEJ Guest, Colin Guest
BK Shepherd, Barry Shepherd
NJN Hawke, Neil Hawke
AN Connolly, Alan Connolly
TR Veivers, Tom Veivers
IR Redpath, Ian Redpath
GE Corling, Grahame Corling
RM Cowper, Bob Cowper
RHD Sellers, Rex Sellers
IM Chappell, Ian Chappell
DJ Sincock, David Sincock
LC Mayne, Laurie Mayne
PI Philpott, Peter Philpott
G Thomas, Grahame Thomas
PJ Allan, Peter Allan
KD Walters, Doug Walters
KR Stackpole, Keith Stackpole
DA Renneberg, David Renneberg
HB Taber, Brian Taber
